pdes,name,H,diameter,albedo,rot_per,e,a,i,om,w,ma
2513,Baetsle,13.3,16.67,0.0278,6.0792,.1813821660246524,2.285837207216256,3.161760309966426,257.6252109233432,97.92148726867372,212.9547009416805
2523,Ryba,11.2,19.4,0.1183,9.390,.03780115558649454,3.019373754930847,8.890450922585895,282.7912248127711,276.9710375545059,312.6356468818456
2524,Budovicium,11.1,31.39,0.0783,10.0819,.1594809961273858,3.115051824192498,.2895304331827417,278.7744390554058,20.20287734798053,51.33119570111791
2531,Cambridge,10.8,19.15,0.2104,8.80,.0577047748684351,3.010463006114275,11.03523885682251,104.3873826458144,33.02042213921191,9.666715696809034
2544,Gubarev,12.0,9.35,0.2430,4.750,.240778874423368,2.37295798327874,22.51858573587087,305.515446457539,262.0976163967885,220.751695585632
2546,Libitina,11.8,15.4,0.1188,132.71,.1916871789856434,2.600759275303542,10.32717481651459,315.1902079309517,234.9230345838388,151.5407575504839
2563,Boyarchuk,11.6,29.49,0.0614,11.04,.1423808585741267,3.193441299589447,2.041640790783007,114.6271690195798,40.84528988396512,247.0237179164504
2582,Harimaya-Bashi,10.4,28.87,0.1337,7.238,.06505824733518287,3.201998193623041,18.14579000351094,56.32226022258673,237.3970775823482,33.22079514785128
2595,Gudiachvili,12.2,32.30,0.0223,4.72,.1462502908117127,2.785514884703526,9.87373613490586,148.4199840287276,278.2989823775374,75.17444227097781
2608,Seneca,17.52,0.9,0.21,8.,.5710419600488569,2.516518960332776,14.67983654254569,167.3687942793554,37.31744635733607,106.1898086298681
2617,Jiangxi,10.3,52.65,0.0441,11.77,.2306928663558697,3.161213373844106,12.90462843078602,73.5774252513975,349.1242194300925,343.0153153872014
2621,Goto,10.9,46.53,0.0428,22.006,.1757156019605231,3.079995275970053,13.04516919916838,95.75656575329484,272.85835256313,230.5242382998626
2645,"Daphne Plane",12.1,15.58,0.0875,8.360,.1061881053558933,2.392234528127269,13.78544527542452,349.8464888294316,79.80946351379815,57.19893556543848
2659,Millis,11.6,26.42,0.0549,6.132,.104457350529103,3.128709548947792,1.320884655552312,157.2303776345738,329.3152650359083,130.1691886752663
2674,Pandarus,9.1,98.10,0.0461,8.480,.0672192212061599,5.182187889337303,1.854908812575389,179.8028875772168,39.34407561941864,211.2060882716165
2687,Tortali,11.89,11.95,0.2170,21.75,.1250607391535251,2.518499998306019,10.08398114386494,49.74660136541335,255.61800139,332.3210223865808
2696,Magion,12.1,20.18,0.0687,480.,.1144291652546585,2.449671202845556,25.35078353972704,186.243748643203,283.2136534061722,87.26614817159387
2697,Albina,10.5,51.54,0.0553,9.6,.07967089121581751,3.560817016759089,3.581887279220004,270.9918919588171,132.4865281161526,227.3198805577105
2715,Mielikki,11.3,13.09,0.1791,33.62,.1527195006055365,2.73532990008777,6.748321963724304,200.6799007755786,143.9347612534352,342.0144906324414
2725,"David Bender",10.7,40.14,0.0759,9.956,.1474650880741462,3.0372050230865,15.53150666629571,61.6222334826701,27.62433359670431,279.5813602041255
2729,Urumqi,11.4,18.96,0.1353,3.127,.06824625765690692,2.88757419994403,3.170037906428078,64.19597606436579,263.774256213384,106.046570958524
2731,Cucula,10.8,50.88,0.0358,61.55,.1890464038580153,3.197731517711843,13.33358313251142,150.7041489093853,131.919377222027,228.0141334376097
2757,Crisser,11.8,19.36,0.1423,8.0882,.2000141639005629,3.167392530716151,.6802474285801438,10.12580168639533,50.56892515951362,200.4335448755666
2759,Idomeneus,10.0,61.01,0.0571,32.4,.06658614779043268,5.179957715984509,21.95409522492641,171.2380218145698,8.076626169594306,17.95187918128322
2760,Kacha,10.04,57.90,0.0508,13.0,.1211589128100304,4.002642389063766,13.4590899438998,352.6025444460585,153.5633212848644,342.462226147729
2774,Tenojoki,11.2,35.60,0.0506,11.2,.1417741826066757,3.18401181779479,8.527849400934505,290.957834823096,108.5990200249029,227.1462860638593
2793,Valdaj,11.3,27.73,0.1100,10.594,.03050426497990927,3.165604443084891,22.09955087442166,356.3672040476617,185.7672417096046,33.17736622038733
2797,Teucer,8.7,111.14,0.0624,10.145,.08858744002892452,5.100632135687726,22.40232202548355,69.93557470469553,48.85767051131887,71.38584513842515
2804,Yrjo,11.2,22.84,0.0708,8.12,.07629610868754902,3.013112353036515,11.22990959239102,109.1816824038171,174.3874643465632,315.0029343182039
2826,Ahti,11.0,36.71,0.0628,24.,.04641040088964267,3.222939388215659,15.4622661624566,33.67570946156854,150.9756269677965,191.7411506318919
2829,Bobhope,10.7,38.25,0.0916,6.0888,.1907293460958508,3.085325760753855,14.3253239694655,324.0962212659019,339.5304303006394,90.44994357564674
2846,Ylppo,11.3,28.15,0.1170,12.,.071204748030316,3.223614227189725,11.42648822214611,144.6664683415124,74.58802415239556,139.647251970675
2856,Roser,11.1,23.99,0.1223,13.73,.009343763811628242,3.027317054063588,9.909619448539756,16.88183294865468,224.4172461886799,122.8621607243779
2865,Laurel,11.3,14.73,0.2242,21.5,.07146566072384476,2.56034736875192,14.30149903942699,321.8032293358124,293.1715664225933,191.0745966620018
2879,Shimizu,11.9,28.24,0.0463,18.72,.1426264595172515,2.769940669443429,10.71730236072804,149.261835826365,24.92962112808409,340.4189095615817
2892,Filipenko,10.20,56.13,0.0466,14.00,.2062079409507485,3.17389054659304,16.96301658375167,326.5501904104173,91.71463808329266,283.0871518405654
2893,Peiroos,9.23,87.46,0.0469,8.96,.07524287847244908,5.156612734179995,14.65436540936287,108.7715317490906,172.2187566273027,132.3106009017544
2906,Caltech,10.1,57.98,0.0526,12.99,.1083157149179801,3.167414821926312,30.64490088123776,84.5119070763327,295.3399158737,330.007498365411
2920,Automedon,8.7,111.01,0.0433,10.212,.02651486374749155,5.107632067740035,21.12394642552766,230.9514035250746,199.8407026770289,116.287007426335
2933,Amber,11.70,20.62,0.0869,13.482,.04746727949943225,2.608489763847984,7.218429226641764,121.5007043376925,220.1984656885656,56.10309595017895
2945,Zanstra,12.5,21.12,0.0522,10.05,.1386922292017085,2.668829808127792,2.626268376498029,95.89470215216252,242.7705986491827,85.26634753976425
2950,Rousseau,11.7,13.33,0.1728,18.228,.2605451455193766,2.757681240511924,9.601453874581402,112.0877070940885,294.2270855532798,269.0023003658677
2951,Perepadin,10.1,49.04,0.0735,4.781,.1142135505738553,3.134215853132676,14.76224020489169,24.8846555589381,118.9338960425749,143.3758975333565
2952,Lilliputia,14.2,9,0.0505,3.26,.1702375222000852,2.313490955816805,3.321739953486598,323.2926247650328,78.68283873888903,334.9382658756729
2957,Tatsuo,10.8,25.64,0.2235,6.8191,.09218750575785797,3.019940008975155,8.713195088789192,249.4373573793646,62.63863167718412,305.1151006208506
2959,Scholl,11.0,34.11,0.0503,16.,.275704267607939,3.94644602739443,5.233460555190497,121.2444776263646,285.0083282607551,314.022416976642
